X1,WT_ratio_1,WT_ratio_2,WT_ratio_3,rrp6_ratio_1,rrp6_ratio_2,rrp6_ratio_3,upf1_ratio_1,upf1_ratio_2,upf1_ratio_3,u_r_ratio_1,u_r_ratio_2,u_r_ratio_3,WT_vs_rrp6_pval,WT_vs_upf1_pval,WT_vs_u_r_pval
YML056C_intron,0.01678406,0.016237437,0.01810191,0.107996818,0.114413777,0.128195968,0.018665567,0.016501437,0.015399981,0.090720146,0.111071901,0.113917485,0.003035658,0.902741324,0.006481722
YML067C_intron,0.012051916,0.013289037,0.009069631,0.017166042,0.016021765,0.013729977,0.027730375,0.033150434,0.024184841,0.04743083,0.044094488,0.041605482,0.029319464,0.007769292,0.001637407
YML073C_intron,0.00743179,0.007096307,0.010148795,0.013334499,0.014424662,0.012668713,0.016188595,0.016641012,0.017390594,0.027463876,0.025722243,0.027681661,0.066484904,0.006239878,0.001488106
YML085C_intron,0.008008008,0.012208259,0.010380952,0.007179896,0.009580604,0.008787346,0.013485852,0.012373859,0.013016211,0.015122662,0.017653759,0.017951698,0.084045679,0.21399494,0.009139905
YML094W_intron,0.028658537,0.047725997,0.027628032,0.037125749,0.044522554,0.04887218,0.062312762,0.051266214,0.05988024,0.095734597,0.075928009,0.081081081,0.33726243,0.142309346,0.048924476
YML124C_intron,0.023887694,0.025360685,0.025224406,0.031890661,0.025157873,0.029518209,0.028327682,0.027056045,0.025989972,0.038229927,0.035566774,0.030248355,0.231375697,0.172349371,0.067316566
YML133C_intron,0.388157895,0.394736842,0.466292135,0.525114155,0.515418502,0.518518519,0.377984085,0.344871795,0.361431871,0.476821192,0.467741936,0.441304348,0.057749741,0.183198298,0.32862388
YMR033W_intron,0.008958195,0.00797546,0.012526096,0.008744316,0.013624955,0.0220022,0.007084662,0.008064516,0.008062016,0.021338156,0.027039207,0.021879022,0.21978117,0.254952241,0.041736017
YMR079W_intron,0.009078853,0.009681035,0.009853971,0.008823529,0.00954534,0.00936303,0.024933215,0.025268817,0.027446427,0.030203247,0.02938707,0.03494495,0.106290782,0.001475429,0.005335176
YMR116C_intron,0.009143074,0.008421329,0.009795427,0.009553012,0.010218507,0.009060423,0.009459595,0.00838242,0.008307995,0.01141591,0.012089609,0.013503659,0.571712846,0.540839994,0.020858296
YMR125W_intron,0.013914657,0.011416922,0.015214058,0.019274786,0.019000704,0.027278689,0.015025654,0.018935762,0.021074816,0.033981191,0.031283382,0.034850957,0.051644893,0.128316901,3.9072E-05
YMR133W_intron,0.113402062,0.191489362,0.090909091,0.242346939,0.271300448,0.273712737,0.082969432,0.086455331,0.088888889,0.221797323,0.233898305,0.24572004,0.048202146,0.274241903,0.089007534
YMR142C_intron,0.017221952,0.019595888,0.017811746,0.020820109,0.021620666,0.020691434,0.030871539,0.028677667,0.031215655,0.034440344,0.034484891,0.037172157,0.024792518,0.014829402,0.005616451
YMR143W_intron,0.010493251,0.008600848,0.010118561,0.013374348,0.012267405,0.01407013,0.036746547,0.035010482,0.033177546,0.053155007,0.056976528,0.0578162,0.008260954,0.001865678,0.001515422
YMR194C-B_intron,0.088516746,0.068807339,0.087982833,0.31008274,0.304783882,0.312157775,0.160877514,0.175946548,0.171370968,0.377742157,0.378389697,0.39749907,0.000380371,0.013436122,0.000500276
YMR194W_intron,0.03251709,0.035688874,0.03657706,0.046771711,0.041111438,0.042812057,0.102485399,0.099894225,0.098488173,0.103162683,0.10741206,0.106672029,0.092013158,0.001341841,4.55818E-05
YMR201C_intron,0.026639344,0.010186757,0.030560272,0.025773196,0.03256445,0.045143639,0.047318612,0.04467354,0.039511494,0.05307096,0.068835098,0.073540014,0.220206332,0.101410415,0.044345223
YMR225C_intron,0.055766793,0.066425121,0.065380493,0.091775924,0.077936334,0.09202454,0.138461539,0.133695652,0.134188034,0.169894366,0.183333333,0.19567355,0.074189226,0.004494271,0.001712099
YMR230W_intron,0.025293951,0.02236136,0.01900206,0.020399543,0.019692909,0.020743881,0.033034399,0.033535698,0.034943298,0.047786205,0.048185768,0.047661211,0.424559885,0.039421793,0.004789587
YMR242C_intron,0.020342037,0.021345408,0.021832749,0.02416674,0.023406735,0.02457629,0.032874099,0.031886718,0.032775947,0.037456308,0.038038377,0.03903241,0.030405556,0.002860782,8.48416E-05
YMR292W_intron,0.052159042,0.044817927,0.038251366,0.089705882,0.075750784,0.069257598,0.069315673,0.078493648,0.069683258,0.109065156,0.102710414,0.103383459,0.004342857,0.033795746,0.001864293
